TV,Radio,Social Media,Influencer,Sales,Total_Budget,ROI,TV_share,Radio_share,Social Media_share
16.0,6.566230788,2.907982773,Mega,54.73275715,25.474213561,2.1485553231678036,0.6280861217437291,0.2577599018818244,0.11415397637444656
13.0,9.237764567,2.409567204,Mega,46.67789698,24.647331770999998,1.8938316493520455,0.5274404597132001,0.37479775307236846,0.09776178721443154
41.0,15.88644602,2.913410175,Mega,150.1778288,59.799856195000004,2.5113409689529766,0.6856203778534855,0.2656602712922293,0.04871935085428511
83.0,30.02002826,6.922303959,Mega,298.2463398,119.94233221900001,2.4865811284662924,0.691999217160895,0.2502871813863608,0.057713601452744144
15.0,8.437407682,1.40599815,Micro,56.5941808,24.843405832,2.278036320088723,0.603781949280037,0.33962363047388794,0.05659442024607506
29.0,9.614382036,1.02716349,Mega,105.8891476,39.641545526,2.6711659748621477,0.7315557356606984,0.24253297666444773,0.025911287674853806
55.0,24.89381148,4.273602146,Micro,198.6798248,84.167413626,2.360531424701236,0.6534595472351553,0.295765432339602,0.05077502042524269
31.0,17.35504181,2.289854925,Nano,108.7339319,50.644896735,2.1469869406378996,0.6121051082838188,0.3426809595606533,0.045213932155527777
76.0,24.64889821,7.130115956,Macro,270.1894,107.779014166,2.5068832006930157,0.7051465499855628,0.2286984938648265,0.0661549561496107
13.0,0.431127823,2.229423022,Mega,48.28058223,15.660550845000001,3.082942784570998,0.8301112859098795,0.02752954396477361,0.14235917012534688
62.0,24.34518879,5.151483172,Nano,224.9610192,91.49667196200001,2.458679800872209,0.6776202748199363,0.26607731481327473,0.05630241036678898
42.0,15.8073374,3.194924641,Mega,145.5439916,61.002262041,2.385878600734166,0.688499058801648,0.25912706957285925,0.052373871625492695
64.0,20.24042393,3.921147972,Micro,229.6323807,88.16157190199999,2.604676569914819,0.7259398694835218,0.22958329228180235,0.04447683823467588
,22.35166709,3.031815334,Mega,276.1653513,25.383482424,10.879726693406203,,0.880559519637328,0.11944048036267192
34.0,0.226326491,2.372705624,Nano,121.3364193,36.599032115,3.315290385787843,0.9289863156262322,0.006183947441255988,0.06482973693251178
36.0,3.90019598,0.060401795,Nano,123.5261126,39.960597775,3.0911978167974246,0.9008874242247245,0.09760104195538402,0.0015115338198916622
60.0,22.35372075,0.940801841,Mega,212.7643968,83.294522591,2.554362402012125,0.7203354810569863,0.2683696364977465,0.011294882445267222
25.0,9.905842649,1.853224897,Micro,89.8199226,36.759067546,2.4434766330130677,0.6801043026653275,0.26948024828442424,0.050415449050248334
100.0,36.11609149,3.67429598,Macro,353.8046387,139.79038747,2.5309654340569656,0.7153567695880426,0.258358905384326,0.026284325027631315
92.0,40.73698967,4.636563904,Nano,329.3505396,137.37355357400003,2.397481400396229,0.6697067783897843,0.29654171862166984,0.033751502988545665
46.0,12.69509229,3.88458384,Macro,162.1913335,62.579676129999996,2.591757316913427,0.7350629284888247,0.2028628633939848,0.06207420811719053
78.0,35.56822382,2.832450089,Macro,276.4013399,116.400673909,2.3745682101126464,0.6700992131796335,0.3055671640510141,0.024333622769352345
37.0,2.828972458,4.556701242,Micro,128.4846619,44.385673700000005,2.8947327186789997,0.833602307133619,0.06373616129206122,0.10266153157431965
99.0,37.26381865,6.88653481,Nano,349.8615752,143.15035346,2.444014749134103,0.6915805487526319,0.2603124459655106,0.04810700528185759
75.0,20.34898797,1.227180495,Micro,272.2501078,96.576168465,2.8190195586260574,0.7765891025919155,0.21070403075034647,0.012706866657738037
54.0,27.807614,4.060781965,Nano,192.4619083,85.868395965,2.2413590720670684,0.6288693225620567,0.32383991441198456,0.047290763025958665
,34.11167359,4.624148295,Nano,342.9133724,38.735821885,8.852616408089931,,0.8806234624702608,0.11937653752973933
27.0,7.280088955,2.179478014,Micro,96.74937343,36.459566968999994,2.653607310044627,0.7405463708045941,0.19967568350962445,0.05977794568578164
21.0,9.282685174,3.055758381,Mega,76.99292807,33.338443555,2.3094337905421756,0.6299034316150757,0.2784378688430945,0.0916586995418299
40.0,13.05041081,1.971184795,Nano,139.2887894,55.021595605,2.5315294452737094,0.7269872776347668,0.2371870656694308,0.0358256566958024
67.0,24.13761593,5.573093351,Mega,234.8510253,96.71070928099999,2.4283869598931727,0.6927878049712843,0.24958576055797918,0.05762643447073656
90.0,29.02101661,6.431995293,Micro,323.0321827,125.453011903,2.5749256857202263,0.7174000738187761,0.2313297717589992,0.05127015442222467
12.0,3.567660711,3.558311365,Nano,40.79219533,19.125972076,2.1328168402581538,0.6274190902462969,0.1865348698002564,0.1860460399534466
81.0,27.33577511,5.263650376,Micro,290.7775735,113.599425486,2.559674683705469,0.7130317750593065,0.24063304011488035,0.04633518482581316
43.0,16.34871104,2.814013458,Mega,150.6264947,62.162724497999996,2.423099951239206,0.6917328728309434,0.2629986245298177,0.045268502639239004
47.0,17.37652562,1.905040273,Mega,161.7851523,66.28156589299999,2.4408770390424066,0.7090961018614631,0.26216226768165624,0.028741630456880798
43.0,18.23019243,4.079293023,Nano,155.5991953,65.30948545300001,2.3824899893289926,0.6584035948490968,0.2791354472256463,0.06246095792525673
75.0,23.62623841,6.199769157,Mega,263.0206872,104.826007567,2.5091167097238647,0.7154713008798262,0.22538527373466155,0.059143425385512184
79.0,23.51057067,2.188926056,Macro,281.5789422,104.69949672599999,2.6894011051160627,0.7545403986682389,0.22455285273746334,0.020906748594297923
65.0,24.56354623,3.41966808,Macro,231.6700477,92.98321431,2.4915254803692535,0.6990509037824206,0.26417183372588876,0.03677726249169069
43.0,12.84212842,2.593697318,Macro,148.7069665,58.435825738,2.544791052782162,0.7358499594545423,0.2197646436550471,0.04438539689041058
82.0,27.64758545,5.611221835,Macro,294.9524151,115.258807285,2.559044484736618,0.7114423785181024,0.2398739506442742,0.048683670837623316
68.0,21.63920124,3.223647705,Micro,242.8248811,92.86284894500001,2.6148764964535838,0.7322626946355527,0.2330232324965205,0.034714072867926694
98.0,37.57095206,8.529604366,Mega,351.7730679,144.100556426,2.441163841588954,0.680080649447915,0.26072732119736003,0.059192029354725006
26.0,10.59953251,0.679275349,Macro,91.92229739,37.278807859000004,2.465805712931556,0.6974471956919881,0.28433131633636766,0.018221487971644097
